name,lat,lon,住所,施設種別,対応している災害の種別
浅川河川敷（長沼橋付近～市立上壱分方小学校付近）,35.667613,139.314149,東京都八王子市元本郷町3-500-4,広域避難場所,地震
富士森公園,35.650935,139.32289,東京都八王子市台町2-2,広域避難場所,地震
陵南公園,35.649184,139.289186,東京都八王子市長房町、東浅川町,広域避難場所,地震
小宮公園,35.672756,139.340966,東京都八王子市大谷町、暁町二丁目,広域避難場所,地震
工学院大学,35.686712,139.318743,東京都八王子市中野町2665-1,広域避難場所,地震
東京都立大学,35.618423,139.380064,東京都八王子市南大沢1-1,広域避難場所,地震
中央大学,35.641514,139.405652,東京都八王子市東中野742-1,広域避難場所,地震
東京工科大学,35.626417000000004,139.339317,東京都八王子市片倉町1404-1,広域避難場所,地震
東京薬科大学,35.638776,139.383892,東京都八王子市堀之内1432-1,広域避難場所,地震
創価大学,35.689577,139.328499,東京都八王子市丹木町1-236,広域避難場所,地震
拓殖大学,35.628599,139.279599,東京都八王子市館町815-1,広域避難場所,地震
明星大学,35.644958,139.408491,東京都日野市程久保2-1-1,広域避難場所,地震
第一小学校,35.6613739,139.3364539,東京都八王子市元横山町2－14－3,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
第二小学校,35.6616623,139.3219191,東京都八王子市八木町7－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
第三小学校,35.6553273,139.3322323,東京都八王子市寺町29－15,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
第四小学校,35.657994,139.3459976,東京都八王子市明神町2－15－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
第五小学校,35.6587429,139.3083482,東京都八王子市千人町3－7－7,一時避難場所・避難所,地震
いずみの森義務教育学校,35.650111,139.341515,東京都八王子市子安町2－19－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
第七小学校,35.6569852,139.3240218,東京都八王子市台町4－2－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
第八小学校,35.6715566,139.360782,東京都八王子市石川町2065,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
第九小学校,35.6708641,139.3251074,東京都八王子市中野上町2－14－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
第十小学校,35.6662013,139.3436281,東京都八王子市大和田町7－5－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
中野北小学校,35.6742304,139.3267405,東京都八王子市中野山王3－1－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
清水小学校,35.676105,139.3194633,東京都八王子市中野山王3－25－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
大和田小学校,35.6655906,139.3543189,東京都八王子市大和田町4－19－1,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
小宮小学校,35.6837025,139.367681,東京都八王子市小宮町1128－3,一時避難場所・避難所,地震
高倉小学校,35.6623521,139.3657458,東京都八王子市高倉町67－2,一時避難場所・避難所,洪水・崖崩れ、土石流及び地滑り・地震・内水氾濫
