ID,名称,住所,緯度,経度,避難場所,避難所,洪水,崖崩れ、土石流及び地滑り,地震,内水氾濫,備考
1320100001,浅川河川敷（長沼橋付近～市立上壱分方小学校付近）,東京都八王子市元本郷町3-500-4,35.667613,139.314149,True,False,False,False,True,False,広域避難場所
1320100002,富士森公園,東京都八王子市台町2-2,35.650935,139.32289,True,False,False,False,True,False,広域避難場所
1320100003,陵南公園,東京都八王子市長房町、東浅川町,35.649184,139.289186,True,False,False,False,True,False,広域避難場所
1320100004,小宮公園,東京都八王子市大谷町、暁町二丁目,35.672756,139.340966,True,False,False,False,True,False,広域避難場所
1320100005,工学院大学,東京都八王子市中野町2665-1,35.686712,139.318743,True,False,False,False,True,False,広域避難場所
1320100006,東京都立大学,東京都八王子市南大沢1-1,35.618423,139.380064,True,False,False,False,True,False,広域避難場所
1320100007,中央大学,東京都八王子市東中野742-1,35.641514,139.405652,True,False,False,False,True,False,広域避難場所
1320100008,東京工科大学,東京都八王子市片倉町1404-1,35.626417000000004,139.339317,True,False,False,False,True,False,広域避難場所
1320100009,東京薬科大学,東京都八王子市堀之内1432-1,35.638776,139.383892,True,False,False,False,True,False,広域避難場所
1320100010,創価大学,東京都八王子市丹木町1-236,35.689577,139.328499,True,False,False,False,True,False,広域避難場所
1320100011,拓殖大学,東京都八王子市館町815-1,35.628599,139.279599,True,False,False,False,True,False,広域避難場所
1320100012,明星大学,東京都日野市程久保2-1-1,35.644958,139.408491,True,False,False,False,True,False,広域避難場所
1320100013,第一小学校,東京都八王子市元横山町2－14－3,35.6613739,139.3364539,True,True,True,True,True,True,
1320100014,第二小学校,東京都八王子市八木町7－1,35.6616623,139.3219191,True,True,True,True,True,True,
1320100015,第三小学校,東京都八王子市寺町29－15,35.6553273,139.3322323,True,True,True,True,True,True,
1320100016,第四小学校,東京都八王子市明神町2－15－1,35.657994,139.3459976,True,True,True,True,True,True,
1320100017,第五小学校,東京都八王子市千人町3－7－7,35.6587429,139.3083482,True,True,False,False,True,False,
1320100018,いずみの森義務教育学校,東京都八王子市子安町2－19－1,35.650111,139.341515,True,True,True,True,True,True,
1320100019,第七小学校,東京都八王子市台町4－2－1,35.6569852,139.3240218,True,True,True,True,True,True,
1320100020,第八小学校,東京都八王子市石川町2065,35.6715566,139.360782,True,True,True,True,True,True,
